title,perex,date,link
"У Міноборони пояснили, хто з держслужбовців підпадає під бронювання","У Міноборони нагадали, що протягом 60 днів всі чоловіки з 18 до 60 років мають оновити свої дані в ТЦК та СП","18:25, 03 травня 2024",https://www.radiosvoboda.org/a/news-derozhsluzhbovtsi-mobilizatsiya-zsu-minoborony/32932398.html
СБУ закликає на Великдень обмежити відвідування масових заходів,«Ворог активно залучає своїх поплічників для коригування вогню по цивільній інфраструктурі України. Серед потенційних цілей – місця масового перебування людей»,"18:00, 03 травня 2024",https://www.radiosvoboda.org/a/news-velykden-sbu-poperedzhennya-zayava-viyna/32932346.html
У Франції оцінили військові втрати Росії вбитими і пораненими,"Голова МЗС Франції каже, що «задля збереження миру в Європі, а також безпеки співгромадян, не має бути обмежень у військовій підтримці України»","17:30, 03 травня 2024",https://www.radiosvoboda.org/a/news-vtraty-frantsiya-viyna-rosiya-ukrayina/32932291.html
"«Давай там, українських баб ґвалтуй»: суд почав розглядати по суті справу дружини військового РФ Биковського","Раніше у розслідуванні «Схеми» ідентифікували її та чоловіка-військовослужбовця, розмову яких перехопили та опублікували українські правоохоронці.","17:16, 03 травня 2024",https://www.radiosvoboda.org/a/news-skhemy-sud-sprava-druzhyny-viyskovoho-rf-bykovskoho/32932261.html
"Байден закликав РФ звільнити ув’язнених американських журналістів, зокрема Алсу Курмашеву","«Журналістика ніде на Землі не повинна бути злочином», – сказав Байден у заяві з нагоди Всесвітнього дня свободи преси 3 травня","16:50, 03 травня 2024",https://www.radiosvoboda.org/a/news-baiden-zhurnalisty/32932258.html
"На Донеччині 3 травня через російські обстріли загинули 3 людини, 5 поранені – прокуратура",«Зранку 3 травня 2024 року окупаційні війська РФ обстрілюють Покровський і Бахмутський райони»,"16:26, 03 травня 2024",https://www.radiosvoboda.org/a/news-donechchyna-zahybli/32932222.html
У Берліні сталася пожежа у приміщенні збройової компанії – поліція,«Чотириповерхова будівля згоріла вщент та частково обвалилася. Взяти вогонь під контроль поки не вдається»,"16:17, 03 травня 2024",https://www.radiosvoboda.org/a/news-pozhezha-berlin-zavod-nimechchyna/32932211.html
В ЄС і НАТО засудили кібератаки спонсорованої Росією групи проти Німеччини і Чехії,«ЄС не терпітиме такої зловмисної поведінки»,"15:58, 03 травня 2024",https://www.radiosvoboda.org/a/news-es-nato-rosia-kiberataky/32932188.html
"По всій Україні оголошували повітряну тривогу, в ЗСУ попередили про активність авіації РФ","«Активність ворожої тактичної авіації, МіГ-31К. Є загроза застосування авіаційних засобів ураження для областей, де оголошена повітряна тривога»","15:20, 03 травня 2024",https://www.radiosvoboda.org/a/news-tryvoha-mih/32932132.html
"У Харкові через удар РФ зруйновані кілька будинків, під завалами – люди, відомо про одну загиблу – мер",«Триває пошуково-рятувальна операція»,"14:53, 03 травня 2024",https://www.radiosvoboda.org/a/news-obstril-kharkova/32932096.html
Зеленський у Хмельницькому обговорив безпеку АЕС і відновлення пошкоджених ударами РФ енергооб’єктів,«Були детальні доповіді щодо ППО і РЕБ в області – на ключових об’єктах»,"14:38, 03 травня 2024",https://www.radiosvoboda.org/a/news-khmelnytskyi-zelenskyi/32932078.html
"На війні в Україні був убитий командир ГРУ Ульман, засуджений за вбивство цивільних у Чечні – ЗМІ","Російські солдати під керівництвом Едуарда Ульмана під час Другої чеченської війни розстріляли 41-річну матір сімох дітей, вагітну восьмою дитиною Зайнап Джаватханову, її племінника Магомеда Мусаєва, 68-річного директора сільської школи Саїд-Магомеда Аласханова, завуча водія Хамзату Тубурову","14:03, 03 травня 2024",https://www.radiosvoboda.org/a/news-ulman-ubyvstvo-cyvilnyh-u-chechni-buv-ubytyj-v-ukrajini/32932037.html
Міноборони: на пʼяти напрямках завершується будівництво оборонних фортифікацій,"За повідомленням відомства, йдеться про Сумську, Запорізьку, Донецьку, Херсонську і Харківську області","13:47, 03 травня 2024",https://www.radiosvoboda.org/a/news-minoborony-fortyfikatsii/32932010.html
Кремль назвав «небезпечними» останні заяви Макрона і Камерона про війну в Україні,"Раніше цього тижня Макрон в інтервʼю виданню The Economist заявив, що готовий розглянути надсилання військ в Україну, якщо від Києва надійде такий запит","13:38, 03 травня 2024",https://www.radiosvoboda.org/a/news-rf-vijna-v-ukrajini-zajavy-macrona-i-kamerona/32931997.html
Розвідка Британії: через український удар по аеродрому в РФ Москві довелося розосередити близько 40 літаків,"«Вплив цього навряд чи буде відразу очевидним чи значним. Однак Україна вже продемонструвала здатність завдавати ударів значно далі вглиб Росії, ніж ці точки розосередження»","13:26, 03 травня 2024",https://www.radiosvoboda.org/a/news-rozvidka-brytanii-rosia-aerodrom/32931971.html
ДБР: експосадовцю СБУ Наумову повідомили про підозру в незаконному збагаченні,"Андрія Наумова підозрюють у набутті необґрунтованих активів на загальну суму 32,7 млн грн","12:58, 03 травня 2024",https://www.radiosvoboda.org/a/news-naumov-pidozra/32931937.html
«Воскресіння Христа – мотивація боротьби з присутністю зла»: послання Варфоломія до Великодня,"Патріарх нагадує, що Воскресіння Христове – це «добра звістка свободи, дар свободи та гарантія спільної свободи у вічному житті Царства Отця, Сина і Святого Духа»","23:11, 04 травня 2024",https://www.radiosvoboda.org/a/news-varfolomiy-pryvitannya-velykden/32933442.html
"У Міненерго розповіли, що допомагає уникати блекаутів в Україні","Уникати блекаутів в Україні нині дуже допомагають відновлювальні джерела енергетики, каже міністр","22:33, 04 травня 2024",https://www.radiosvoboda.org/a/news-minenerho-blekaut-ukrayina-halushchenko-viyna/32933440.html
Зеленський закликав українців бути «максимально уважними» найближчими днями,«Лише за сьогодні російські війська застосували проти українців 8 ракет різних типів і майже 70 керованих авіабомб»,"21:58, 04 травня 2024",https://www.radiosvoboda.org/a/news-zelenskyy-obstrily-velykden-rosiya/32933432.html
«Володіємо всіма аспектами»: Зеленський заслухав доповіді Сирського і Буданова,"«Головком доповів саме щодо українських фронтових позицій, конкретних дій підрозділів, конкретних напрямків»","21:20, 04 травня 2024",https://www.radiosvoboda.org/a/news-zelenskyy-viyna-hur-zsu-dopovidi/32933423.html
Протягом доби на фронті зафіксовано 74 бойових зіткнення – Генштаб ЗСУ,"«На Авдіївському напрямку нашими захисниками відбито 18 атак в районах населених пунктів Новоолександрівка, Сокіл, Новопокровське, Уманське Донецької області, де ворог, за підтримки авіації, намагався витіснити наші підрозділи із займаних рубежів»","20:45, 04 травня 2024",https://www.radiosvoboda.org/a/news-zsu-viyna-henshtab/32933413.html
Члени ВЛК більше не зможуть ухвалювати рішення на власний розсуд – Міноборони,"«Фактично скасовано індивідуальну оцінку придатності. Тепер члени ВЛК не зможуть приймати рішення на власний розсуд, а будуть керуватися лише чіткими нормами»","19:52, 04 травня 2024",https://www.radiosvoboda.org/a/news-minoborony-obmezheno-prydatni-vlk-khvoroby/32933397.html
"Сили РФ атакували Нікополь з артилерії і дронами, поранена жінка – влада",Нікополь і Нікопольський район регулярно зазнають російських обстрілів,"19:40, 04 травня 2024",https://www.radiosvoboda.org/a/news-nikopol-rosiya-obstril-viyna/32933395.html
ОВА: в Харкові зросла кількість постраждалих від ракетного удару,Останнім часом російські війська посилили свої атаки Харкова і Харківщини,"19:00, 04 травня 2024",https://www.radiosvoboda.org/a/news-kharkiv-obstril-viyna-rosiya/32933374.html
У Варшаві в ДТП загинуло двоє українців – прокуратура,"За даними поліції, з невстановлених причин автомобіль з’їхав з дороги, врізався в дерево і загорівся","18:27, 04 травня 2024",https://www.radiosvoboda.org/a/news-avariya-dtp-polshcha-ukrayina/32933367.html
